time,type,value
1646373385.9353223,meditation,44
1646373386.9333189,attention,44
1646373386.9343348,meditation,20
1646373387.93734,attention,44
1646373387.9383318,meditation,20
1646373389.0063195,attention,63
1646373389.0063195,meditation,16
1646373389.935013,attention,56
1646373389.935013,meditation,48
1646373390.9350095,attention,51
1646373390.9350095,meditation,50
1646373391.9925885,attention,43
1646373391.99359,meditation,63
1646373392.9353926,attention,43
1646373392.9364085,meditation,63
1646373393.938088,attention,43
1646373393.9390888,meditation,63
1646373394.9348905,attention,43
1646373394.9348905,meditation,63
1646373395.99701,attention,38
1646373395.998008,meditation,84
1646373396.934306,attention,38
1646373396.9353015,meditation,75
1646373397.9358552,attention,47
1646373397.9378288,meditation,77
1646373398.9386146,attention,56
1646373398.9396122,meditation,67
1646373399.9537184,attention,63
1646373399.9537184,meditation,41
1646373400.936725,attention,61
1646373400.9387157,meditation,41
1646373401.9354718,attention,60
1646373401.9364717,meditation,26
1646373402.9424522,attention,60
1646373402.9424522,meditation,26
1646373403.9364667,attention,60
1646373403.9384482,meditation,26
1646373404.9334545,attention,57
1646373404.9334545,meditation,17
1646373405.9360466,attention,48
1646373405.9370492,meditation,41
1646373406.974043,attention,61
1646373406.974043,meditation,41
1646373407.939808,attention,63
1646373407.939808,meditation,54
1646373408.9358127,attention,54
1646373408.936799,meditation,63
1646373409.9358025,attention,54
1646373409.9388072,meditation,47
1646373410.9333446,attention,54
1646373410.9343383,meditation,47
1646373411.9333673,attention,29
1646373411.9363756,meditation,43
1646373412.9333644,attention,23
1646373412.9333644,meditation,37
1646373413.9623652,attention,27
1646373413.9623652,meditation,38
1646373414.9333627,attention,30
1646373414.9333627,meditation,56
1646373415.934367,attention,54
1646373415.9353657,meditation,56
1646373416.9333637,attention,57
1646373416.934364,meditation,57
1646373417.9333737,attention,69
1646373417.934371,meditation,70
1646373418.9353893,attention,70
1646373418.9363794,meditation,56
1646373419.9349544,attention,53
1646373419.9349544,meditation,53
1646373420.9569457,attention,70
1646373420.9579458,meditation,56
1646373421.9336066,attention,57
1646373421.9346066,meditation,26
1646373422.936226,attention,53
1646373422.9372587,meditation,23
1646373423.9344337,attention,56
1646373423.9354367,meditation,34
1646373424.975164,attention,38
1646373424.975164,meditation,35
1646373425.9320936,attention,51
1646373425.933091,meditation,61
1646373426.9340959,attention,51
1646373426.9340959,meditation,77
1646373427.934091,attention,51
1646373427.934091,meditation,57
1646373428.936326,attention,48
1646373428.9373012,meditation,74
1646373429.9353101,attention,38
1646373429.9363046,meditation,64
1646373430.9342916,attention,50
1646373430.9342916,meditation,67
1646373431.9743314,attention,43
1646373431.9743314,meditation,88
1646373432.934336,attention,51
1646373432.934336,meditation,75
1646373433.934007,attention,50
1646373433.9350057,meditation,56
1646373434.9329898,attention,30
1646373434.9329898,meditation,57
1646373435.9323838,attention,44
1646373435.9323838,meditation,56
1646373436.9333959,attention,43
1646373436.934399,meditation,75
1646373437.9331717,attention,38
1646373437.9341822,meditation,100
1646373438.9611626,attention,48
1646373438.9611626,meditation,100
1646373439.9337506,attention,44
1646373439.9337506,meditation,90
1646373440.9337373,attention,44
1646373440.9337373,meditation,87
1646373441.9348676,attention,50
1646373441.9358807,meditation,66
1646373442.9548767,attention,41
1646373442.955862,meditation,77
1646373443.941483,attention,43
1646373443.941483,meditation,77
1646373444.9334834,attention,38
1646373444.9345005,meditation,70
1646373445.942066,attention,23
1646373445.943078,meditation,61
1646373446.9332716,attention,37
1646373446.9332716,meditation,66
1646373447.9399972,attention,29
1646373447.94099,meditation,84
1646373448.9329896,attention,23
1646373448.9329896,meditation,83
1646373449.972106,attention,50
1646373449.972106,meditation,100
1646373450.9341104,attention,40
1646373450.9341104,meditation,100
1646373451.9351,attention,43
1646373451.9370925,meditation,100
1646373452.933177,attention,51
1646373452.933177,meditation,100
1646373453.9343064,attention,44
1646373453.9343064,meditation,90
1646373454.933352,attention,35
1646373454.933352,meditation,87
1646373455.9333565,attention,50
1646373455.9343479,meditation,78
1646373456.9629962,attention,48
1646373456.9629962,meditation,57
1646373457.9340055,attention,60
1646373457.9350133,meditation,74
1646373458.9334247,attention,81
1646373458.9344177,meditation,64
1646373459.9354143,attention,78
1646373459.9354143,meditation,61
1646373460.9341824,attention,78
1646373460.9382071,meditation,61
1646373461.9341822,attention,78
1646373461.9351912,meditation,61
1646373462.9339607,attention,88
1646373462.934969,meditation,70
1646373463.9539626,attention,88
1646373463.954976,meditation,70
1646373464.933128,attention,70
1646373464.933128,meditation,74
1646373465.9346457,attention,70
1646373465.9346457,meditation,74
1646373466.9376562,attention,70
1646373466.9376562,meditation,74
1646373467.9896526,attention,56
1646373467.9896526,meditation,77
1646373468.932742,attention,54
1646373468.932742,meditation,67
1646373469.93231,attention,38
1646373469.9333038,meditation,54
1646373470.9420207,attention,34
1646373470.943021,meditation,54
1646373471.9315877,attention,48
1646373471.9315877,meditation,47
1646373472.9325106,attention,48
1646373472.9325106,meditation,47
1646373473.9315162,attention,48
1646373473.9315162,meditation,47
1646373474.9685197,attention,48
1646373474.9695168,meditation,47
1646373475.9330878,attention,48
1646373475.9330878,meditation,47
1646373476.9325938,attention,34
1646373476.9325938,meditation,48
1646373477.933138,attention,38
1646373477.933138,meditation,53
1646373478.9322324,attention,48
1646373478.9332428,meditation,40
1646373479.9335172,attention,51
1646373479.9335172,meditation,24
1646373480.9330077,attention,51
1646373480.9340148,meditation,30
1646373481.9611013,attention,40
1646373481.9611013,meditation,13
1646373482.9331617,attention,38
1646373482.9331617,meditation,27
1646373483.93271,attention,38
1646373483.93271,meditation,27
1646373484.9336388,attention,37
1646373484.9346418,meditation,37
1646373485.9546342,attention,37
1646373485.9556463,meditation,37
1646373486.9326217,attention,48
1646373486.9326217,meditation,43
1646373487.9321616,attention,53
1646373487.9331603,meditation,61
1646373488.9457476,attention,47
1646373488.9467463,meditation,50
1646373489.9327493,attention,51
1646373489.9347522,meditation,61
1646373490.9340131,attention,61
1646373490.9350111,meditation,47
1646373491.9360154,attention,84
1646373491.9370217,meditation,50
1646373492.974999,attention,96
1646373492.974999,meditation,53
1646373493.9320092,attention,80
1646373493.9330077,meditation,53
1646373494.9327624,attention,75
1646373494.9327624,meditation,64
1646373495.9357677,attention,56
1646373495.9367814,meditation,51
